[Info]	WQJJ (LPFM)	100.1 LPFM	Jasper, AL		Classic Hits
[Info]	WQJJ (LPFM) (CP)	101.9 LPFM	Jasper, AL		Classic Hits
[BC]	[Info]	WQKS	96.1 FM	Montgomery, AL		Classic Hits
[Info]	WQLS	90.5 FM	Camden, AL		Rhythmic Oldies
[BC]	[Info]	WQLT	107.3 FM	Florence, AL		Adult Hits
[Info]	WQNR	99.9 FM	Tallassee, AL		Adult Hits
[BC]	[Info]	WQOH	1480 AM	Irondale, AL		Religious
[Info]	WQOH	88.7 FM	Springville, AL		Religious
[BC]	[Info]	WQPR	88.7 FM	Muscle Shoals, AL	University of Alabama	Public Radio
[BC]	[Info]	WQRV	100.3 FM	Meridianville, AL		Classic Hits
[Info]	WQRX	870 AM	Valley Head, AL		Spanish Christian
[BC]	[Info]	WQSB	105.1 FM	Albertville, AL		Country
[Info]	WQSI	95.9 FM	Tuskegee, AL		Talk
[BC]	[Info]	WQUA	102.1 FM	Citronelle, AL		Religious
[Info]	WQXD (LPFM)	97.9 LPFM	Athens, AL		Gospel Music
[Info]	WQZX	94.3 FM	Greenville, AL		Country
[Info]	WQZZ	107.3 FM	Boligee, AL		Rhythmic Oldies
[Info]	WRAB	1380 AM	Arab, AL		Country
[BC]	[Info]	WRBZ	1250 AM	Wetumpka, AL		Classic Hits
[Info]	WRFS	105.1 FM	Rockford, AL		Classic Hits
[Info]	WRJL	99.9 FM	Eva, AL		Gospel Music
[Info]	WRJM (LPFM)	95.5 LPFM	Cullman, AL		Adult Album Alternative
[Info]	WRJX	1230 AM	Jackson, AL		Country
[BC]	[Info]	WRKH	96.1 FM	Mobile, AL		Classic Rock
[BC]	[Info]	WRLD	95.3 FM	Valley, AL		Classic Hits
[Info]	WRMG	1430 AM	Red Bay, AL		Country
[Info]	WRMZ (LPFM)	98.1 LPFM	Headland, AL		Variety
[BC]	[Info]	WRNF	89.5 FM	Selma, AL		Religious
[Info]	WRNK (LPFM)	96.3 LPFM	Lanett, AL		Religious
[BC]	[Info]	WRSA	96.9 FM	Holly Pond, AL		Adult Contemporary
[BC]	[Info]	WRTR	105.9 FM	Brookwood, AL		Talk
[BC]	[Info]	WRTT	95.1 FM	Huntsville, AL		Rock
